COD_ESTACION;NOM_ESTACION;FECHA;CONTAMINANTE;MEDICION
03009002;ROSALEDA;07/01/1997;PST;19
03009002;ROSALEDA;07/01/1997;PB;0,05
03009002;ROSALEDA;07/01/1997;NOX;91
03009002;ROSALEDA;08/01/1997;CO;1,5
03009002;ROSALEDA;08/01/1997;NO;21
03009002;ROSALEDA;08/01/1997;NO2;37
03009002;ROSALEDA;08/01/1997;SO2;20
03009002;ROSALEDA;08/01/1997;O3;51
03009002;ROSALEDA;08/01/1997;PST;5
03009002;ROSALEDA;08/01/1997;PB;0,02
03009002;ROSALEDA;08/01/1997;NOX;68
03009002;ROSALEDA;09/01/1997;CO;1
03009002;ROSALEDA;09/01/1997;NO;25
03009002;ROSALEDA;09/01/1997;NO2;35
03009002;ROSALEDA;09/01/1997;SO2;12
03009002;ROSALEDA;09/01/1997;O3;62
03009002;ROSALEDA;09/01/1997;PST;14
03009002;ROSALEDA;09/01/1997;PB;0,15
03009002;ROSALEDA;09/01/1997;NOX;74
03009002;ROSALEDA;10/01/1997;CO;1,4
03009002;ROSALEDA;10/01/1997;NO;36
03009002;ROSALEDA;10/01/1997;NO2;59
03009002;ROSALEDA;10/01/1997;SO2;14
03009002;ROSALEDA;10/01/1997;O3;42
03009002;ROSALEDA;10/01/1997;PST;22
03009002;ROSALEDA;10/01/1997;PB;0,06
03009002;ROSALEDA;10/01/1997;NOX;115
03009002;ROSALEDA;11/01/1997;CO;1,4
03009002;ROSALEDA;11/01/1997;NO;41
03009002;ROSALEDA;11/01/1997;NO2;72
03009002;ROSALEDA;11/01/1997;SO2;28
03009002;ROSALEDA;11/01/1997;O3;25
03009002;ROSALEDA;11/01/1997;PST;20
03009002;ROSALEDA;11/01/1997;PB;0,05
03009002;ROSALEDA;11/01/1997;NOX;135
03009002;ROSALEDA;12/01/1997;CO;1,1
03009002;ROSALEDA;12/01/1997;NO;28
03009002;ROSALEDA;12/01/1997;NO2;53
03009002;ROSALEDA;12/01/1997;NOX;96
03009002;ROSALEDA;12/01/1997;O3;24
03009002;ROSALEDA;12/01/1997;PST;20
03009002;ROSALEDA;12/01/1997;PB;0,05
03009002;ROSALEDA;12/01/1997;SO2;7
03009002;ROSALEDA;13/01/1997;NO2;90
03009002;ROSALEDA;13/01/1997;NO;86
03009002;ROSALEDA;13/01/1997;CO;1,5
03009002;ROSALEDA;13/01/1997;NOX;223
03009002;ROSALEDA;13/01/1997;O3;23
03009002;ROSALEDA;13/01/1997;PST;74
03009002;ROSALEDA;13/01/1997;PB;0,05
03009002;ROSALEDA;13/01/1997;SO2;129
03009002;ROSALEDA;14/01/1997;NO2;97
03009002;ROSALEDA;14/01/1997;NO;69
03009002;ROSALEDA;14/01/1997;CO;1,5
03009002;ROSALEDA;14/01/1997;NOX;204
03009002;ROSALEDA;14/01/1997;SO2;105
03009002;ROSALEDA;14/01/1997;PB;0,03
03009002;ROSALEDA;14/01/1997;PST;71
03009002;ROSALEDA;14/01/1997;O3;26
03009002;ROSALEDA;15/01/1997;SO2;17
03009002;ROSALEDA;15/01/1997;PB;0,04
03009002;ROSALEDA;15/01/1997;PST;29
03009002;ROSALEDA;15/01/1997;NO;23
03009002;ROSALEDA;15/01/1997;NO2;60
03009002;ROSALEDA;15/01/1997;NOX;95
03009002;ROSALEDA;15/01/1997;O3;48
03009002;ROSALEDA;15/01/1997;CO;1,2
03009002;ROSALEDA;16/01/1997;PB;0,02
03009002;ROSALEDA;16/01/1997;SO2;59
